"Designator","Value","Package","MidX","MidY","Rotation","Layer"
"C1","0.1uF","C0402",152.330347,-112.217200,0.000000,top
"C2","0.1uF","C0402",145.077747,-113.907200,-90.000000,top
"C3","0.1uF","C0402",153.801747,-114.977800,0.000000,top
"C4","4.7uF","C0603",156.420347,-115.054000,180.000000,top
"C5","2.2uF","C0201",154.094747,-117.516400,90.000000,top
"C6","2.2uF","C0201",145.407947,-117.287800,-90.000000,top
"C7","15uF","C1210",141.779747,-114.630200,0.000000,top
"C8","15uF","C1210",141.780000,-118.030000,180.000000,top
"C9","2.2uF","C0201",145.839747,-119.573800,90.000000,top
"C10","2.2uF","C0201",154.439447,-116.261800,0.000000,top
"C11","2.2uF","C0201",153.053347,-118.964200,-90.000000,top
"C12","2.2uF","C0201",150.487947,-119.980200,90.000000,top
"C13","2.2uF","C0201",151.767347,-119.659400,180.000000,top
"C14","2.2uF","C0201",147.227347,-119.710200,180.000000,top
"C15","0.1uF","C0402",136.797347,-110.478200,90.000000,top
"C16","0.1uF","C0402",136.848147,-104.839400,-90.000000,top
"C17","1uF","C0402",152.812947,-107.238800,0.000000,top
"C18","1uF","C0402",152.863747,-110.769400,180.000000,top
"CN1","PJ-327A 5JJ","AUDIO-SMD_PJ-327A5JJ",139.420547,-128.641000,90.000000,top
"LED1","SK6812_C5378720","LED-SMD_4P-L5.4-W5.0_SK6812",163.849200,-88.843363,0.000000,top
"LED2","SK6812_C5378720","LED-SMD_4P-L5.4-W5.0_SK6812",163.849200,-94.126563,0.000000,top
"LED3","SK6812_C5378720","LED-SMD_4P-L5.4-W5.0_SK6812",163.849200,-99.389243,0.000000,top
"LED4","SK6812_C5378720","LED-SMD_4P-L5.4-W5.0_SK6812",163.849200,-104.672843,0.000000,top
"LED5","SK6812_C5378720","LED-SMD_4P-L5.4-W5.0_SK6812",163.840400,-109.956800,0.000000,top
"LED6","SK6812_C5378720","LED-SMD_4P-L5.4-W5.0_SK6812",163.859200,-115.240000,0.000000,top
"LED7","SK6812_C5378720","LED-SMD_4P-L5.4-W5.0_SK6812",163.857600,-120.522800,0.000000,top
"LED8","SK6812_C5378720","LED-SMD_4P-L5.4-W5.0_SK6812",163.869200,-125.831200,0.000000,top
"LED9","SK6812_C5378720","LED-SMD_4P-L5.4-W5.0_SK6812",163.869200,-131.114400,0.000000,top
"R1","10k","R0402",153.457947,-113.411000,180.000000,top
"R2","10k","R0402",136.145947,-113.158800,90.000000,top
"R3","10k","R0402",137.381547,-113.158800,-90.000000,top
"R4","200k","R0402",144.339347,-103.047800,0.000000,top
"R5","4.7k","R0402",147.895347,-102.336600,0.000000,top
"R6","4.7k","R0402",147.848147,-101.066600,180.000000,top
"R7","4.7k","R0402",147.058947,-107.897400,90.000000,top
"R8","4.7k","R0402",144.925347,-109.929400,90.000000,top
"R9","330","R0402",165.910000,-83.430000,0.000000,top
"U1","CS43131-CNZR","TQFN-40_L5.0-W5.0-P0.40-TL-EP3.5",149.470597,-116.196200,0.000000,top
"U2","XIAO-RP2350-DIP","XIAO-RP2350-DIP",143.960147,-89.636600,0.000000,top
"U3","PCA9306DCUR","SSOP-8_L2.0-W2.3-P0.50-LS3.1-BR",145.522947,-105.537000,-90.000000,top
"U4","SN74AXC4T245PWR","TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL",140.315247,-107.612200,180.000000,top
"U5","XTPS7A2018","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL",150.437147,-109.296200,180.000000,top
"U6","TYPEC-955-ARP24","USB-C-SMD_TYPE-C-24P-GTJB-040",152.763900,-149.557338,0.000000,top
"U7","74AHCT1G125GV","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL",163.192500,-83.764500,0.000000,top
"USB1","TYPEC-952-ACP24","USB-C-SMD_TYPEC-952-ACP24",152.763900,-142.057338,0.000000,top
